Author,Comment
Kevin Parre,"Is moto edge 30 ultra a better deal with sd8 +gen 1, 125 watts charger included  in the box, curved display, and same 3 years of android update.... Confused between 7,7a  and 30 ultra..."
Soumyabrata Roy,"With only 6k extra , pixel 7 is a better buy… IMO"
Ratnesh Sah,I'm in Group A waiting for Price Drop to Become Group B
Vamsee Nunna,"Yea, the bezels looks almost as thick as an iPhone!"
Hitesh Bhatt,In Group 4: waiting for GrapheneOS to support this.
Hritik Raj,"Groups 3, wait until it's @35000"
Rahul Balak,I m in Big billion day group
Arup Mondal,Better than A54
Sharan R,"I will say, just wait for a while.
Go through, reviews for one month. Then go for it.
Offer days are coming. Big deals Big days."
Aditya kiran Choudhury,Group 1 due to the processor
Anis Ansari,Group 3- Well balanced (after card discounts)
9 to 5 traveler,pixel 7 for 45k only 😂😂
Sudipta Sen,"no group, but it in Big billion"
Irvin Raj,Instead I would just wait for an year and buy the Pixel 7 instead keeping the 6A as well! 😅 The 6A is still the best for its price but i guess the 7A is not worth the upgrade for its features and price.
Sibghath Khan,18 w charging lol
BurntW,"Honestly, Pixel 7 is same price as Pixel 7a if you are selling your old phone. If old phone is worth 10k, Pixel 7 will give 3k exchange bonus. + There are HDFC card offers.
Pixel 7a= 44098-4000(Card)-10000(exchange)=30098/-
Pixel 7= 50098-6250(Card)-13000(exchange)=30848/-"
Bharath Cs,Using same Exynos 2100 chipset and calling it tensor 2😂
Amit Tekriwal,🥁🥁Enters Pixel 7🥁🥁
REY,"Well I'm in group 3 - waiting for the price to go down , so we can purchase it ! 😂"
Zaman zia,Pixel 6 pro available in 30K in indian second hand market
Katta Krishna,Claiming 18 watt charging as ‘fast’ in 2023 is criminal and i think its still overpriced. A price around 35-40k would have been good
Parvaiz Franco,group 2 certainly
Rakesh Dangwal,When will pixel 8 launch 😮
Ashik Aliyar,"Everytime pixel comes with a deal breaker. This time the Bezels around the display is annoying 😢.
.
Last year im totally confused of pixel 7. And i bought for S22plus😂 and Happy..

As a pixel fan, My dream pixel is still a dream."
N U,"18W charging with a okayish battery damn whyyyy ...
At least 30w??😞"
Tabish,this pixel will destroy nothing phone 1
Sukruth S,still group 1
Arslaan,Does it has basic features like AppLock and other security features like passcode for restart etc
Gautam Juyal,Pixel 7 and 7a look quite thick in my opinion.
Amol Bhardwaj,Group 3 no money to buy it 😢
Dr. Nova Potter,Group 3 - Iphones r the best…❤
lazimbin hussain,Need a comparison Pixel 7 vs pixel 7a
Tejas Chaudhari,"I am in group 3, I will wait 6 months when the price will go down."
Skyline,CHINESE PHONES are dead now😂
Anshul Nigam,"I'm definitely gonna pay for the User Experience!
I have been using Pixel ROM on Poco F1 for last 2 years and I'm loving it. 
I've been a Mi Fan, but now I want something clean like this one, so this is gonna be my first phone that I buy from my salary (probably in BBD sale)"
